"","Epi_CD11c","CD33Low","LCs","Lang-","Lang+","cDC1","MDDC","MDM","Mac"
"LILRA5",1.52291185766178,0.537220883198655,0.672848417178474,0.862926301588001,1.95324025622474,4.62273165832693,8.13913170657662,0.762077496981866,5.04336359916359
"LILRA6",5.05324697793123,0.54367569708235,1.53901792179732,5.72463716981712,6.12692793456731,2.12371354335431,12.1590049197614,25.3030955957911,28.7121654484212
"LILRB1",3.69709398295517,0.761667489584957,0.69452573754598,9.00540264002639,8.31084583383738,5.85312056985154,13.5660247002506,15.7761198237794,15.7835038321739
"LILRB2",21.2941660880282,0.0423479611957331,1.27866081216064,49.6153962573845,54.4216139826405,34.4795880689477,81.8342169517932,56.2357531690698,40.0945511284962
"LILRB3",12.9423583381269,6.37411448161401,7.66503120543097,15.3867492449128,14.9007599133345,9.89712764148625,31.9911678626735,38.3555469439612,37.3653458750393
"LILRB4",5.95470815035235,0.0594090103105605,0.120821374604858,9.60338686489832,1.56692390474804,8.40301948804071,27.5520673900427,38.9958877982067,64.5714696178891
"LILRB5",1.38040163512933,0,0.936316238504569,2.10642826326742,7.82256501861193,0.783276682768077,9.68755199312439,116.383897511616,158.979211538073
"LILRP2",0.336026056967528,0.0117143736048344,0.0632716732268445,0.531664150231748,0.60155253621277,0.999733716020954,0.796478327649792,0.782317529436298,0.512660703968983
"LIMA1",0.555113057292008,0.0403040520057004,1.44926377407775,1.71824013292031,1.17953876536228,3.01805393840687,2.41784274482747,1.31408826361076,2.92017985811766
"LIMCH1",1.90622795475535,0.0876147499589495,2.32577467501609,2.55228393007243,6.41119331576418,8.18258312133729,4.29376698980119,1.96275333722894,6.62410994264583
"LIMD1",1.29978825267964,0.643085553899945,1.88593066109615,0.930612935911583,0.819555159515318,0.677602359281542,2.33064315387202,3.05704271501808,3.68415668847956
"LIMD1.AS1",0.0122630544123067,0,0.191477169953725,0.233223694874373,0.62871295201779,0,0.410256772813717,0.017510840450084,0.696035416499666
"LIMD2",3.90506893487655,9.89869904491641,0.179101194411891,7.30930758326662,3.2032226579151,14.1462351514276,3.94660318042806,4.70967644247121,2.54969838382539
"LIME1",0.196639247025581,14.7215676195967,0.403443510316045,1.333340867126,2.00055251165081,0.841704843646583,0.788930902145757,1.27469186671934,2.8230754238735
"LIMK1",0.93473273822165,0,1.21712277860271,5.35527715000222,3.3926467456477,1.02584399236842,5.80075401884079,1.29295604204032,6.6714628651134
"LIMK2",1.06003756074887,2.76377380124931,3.11574321349186,0.517623726144624,3.64065170036235,0.479992392382413,2.15953749219037,1.5602783918379,5.27804254046014
"LIMS1",40.3458791888386,10.1022263059824,25.7609156900356,37.1310541115052,26.3884721168922,20.4227725279685,44.2034785966823,25.9270526017318,16.3670768501558
"LIMS2",29.0475783570483,44.4998082763647,65.0071074930703,3.3763823258201,2.55078705164338,0.809058564314033,2.18628569635076,1.98645737790975,1.79834050586625
"LIMS3",20.5224461980057,6.66782665622247,17.2542424808822,25.4627319577107,15.4994581893427,14.5837200402093,30.903214308294,19.0890897988641,9.51819802361624
"LIMS3.1",20.5668007159143,6.69380268896309,17.1358441767466,25.4776391929216,15.4935334413661,14.6160198238676,30.840635988626,19.0013132520198,9.55100022522558
"LIMS3L",20.5224461980057,6.58989855800058,17.2542424808822,25.4627319577107,15.4822141150159,14.5710364745682,30.903214308294,19.0890897988641,9.51819802361624
"LIMS3L.1",20.5668007159143,6.69380268896309,17.1358441767466,25.4776391929216,15.4935334413661,14.6160198238676,30.840635988626,19.0013132520198,9.55100022522558
"LIMS3.LOC440895",7.57450873911209,0,0.0348221585435967,13.5903773867217,0,0.0123366107837204,0,0.0116560761912046,0.0159524539688651
"LIMS3.LOC440895.1",14.2130023382767,4.48573115541218,14.7935522128597,21.7122280713355,13.0855527097635,11.8642669565766,27.0701964931242,15.3898025560191,6.24113737070966
"LIN28A",1.6889533107134,1.72518694142621,1.23055678753498,0.756125709588437,0.68741908910159,1.15191442109561,1.13258945862152,1.14838221737178,1.29362831038015
"LIN28B",0.00356903507695537,0.0675028809250785,0.040698595471299,0,0,0,0,0,0
"LIN37",0.49545965640047,1.41706638057775,10.7489722221087,6.54630303635008,6.47861693208482,3.47487664967866,7.18803489934832,15.7659732502827,4.75423783305493
"LIN52",4.22039601069568,2.38319612905648,5.09660846114329,2.83857302926741,0.893480423848234,2.47810658674024,4.00785641123319,2.18787116030187,2.45094540215376
"LIN54",3.05005356321833,2.31946853853901,2.63689487715896,2.14991883419994,4.53803995059821,2.33361462452766,2.22402314698556,6.42563294455733,3.3388604073061
"LIN7A",0.239604123154138,0,0,0,0,0,3.92448451689051,0,0
"LIN7B",0.104092917078884,1.23047470030648,2.27728240168019,1.66012519908272,0.555417554081456,0.0169201795210371,0.49172020104912,1.4899707459777,2.34789619880969
"LIN7C",12.9644236338276,1.20784752509825,2.4058126891215,3.39113427517203,11.6601070472773,1.86165041500215,6.30267242682141,5.69210561366765,3.92485731546261
"LIN9",0,0.05357603222211,0.611444509913229,0.422095859463952,0,0.0773556650248103,0,1.52354752208978,0.223554924085555
"LINC00029",0,0,0,0,0,0.0680735452679733,0,0,0
"LINC00032",0,0,0.0204163891429694,0.0160126120751372,0.0206597424543618,0.558586320817153,0,0.0128725015815672,0.018568449613889
"LINC00035",0,0,0,0,0,0,0.165333324868052,0.43601857101285,0
"LINC00052",0,0,0.031361389707377,0,0,0,0,0,0
"LINC00085",0,0,0.0148531128798316,0.0159546146296773,0,1.7022909713736,0.130690065412796,0.239076182574821,0.213262919972636
"LINC00086",0,0,0.0162070144726202,0,0,0,0,0,0
"LINC00087",0,0,0.049867736838831,0,0,0.036823723100909,0,0,0
"LINC00092",2.91674089211046,2.27843137005725,1.34838458952373,0.719059169722425,1.1073898262674,1.40208388172591,1.69540194429045,1.73345887997754,2.86052906504158
"LINC00094",1.97616553288923,0.808047843160212,2.04756293826993,2.57898361579215,0.974369702254937,3.28541655842483,1.62831543120893,2.18421208865522,3.61352946287097
"LINC00102",0.0991877345464536,0.138969094799012,0.152254212243499,0.320914619142885,0.181972254425276,0.0784766079724926,0.420910143020865,0.669560105232545,0.570532120508109
"LINC00111",0.086553031271539,0,0,0,0,0,0,0,0
"LINC00114",1.59183883630026,0.280752009287215,0.244364268713991,0.248323617711795,0.115114629066308,0.106707126380422,0.114795375180016,0.327852768393298,0.379803882531208
"LINC00115",9.4230911657209,0,3.32170228074682,1.20259884904582,0,16.3073661398479,0.0234908094021822,3.59396469408373,1.40325802051875
"LINC00116",0.508023563581205,3.79913560520313,0.699174304026229,1.08577386044169,1.07226917548343,3.19482390014575,0.875470929698342,2.21255594338546,2.00569018845986
"LINC00152",41.2616020320566,5.0744156233227,6.38455313440292,25.0223682898767,22.1373122481373,45.1402681958028,41.298195831926,10.8930443271018,13.0214272708706
"LINC00158",0,0,0,0.180451447579833,0,3.6836735325869,0.553112150990537,0,0
"LINC00162",0,0,0,0,0,0,0,0,0.0351982472001637
"LINC00163",0.346427563401687,0,0.0129956942035673,0,0,0.00592795152593177,0,0,0
"LINC00167",0.51494803252758,0.346120255668933,0.586206066425302,0.327735665779346,0.316173637733726,0.546549528126743,0.488237170642515,0.661588091798596,0.939499887378176
"LINC00173",0,0,0.0140661582163172,0,0.0100756453657385,0,0.474368240982924,1.2241807192174,2.82385004351361
"LINC00174",0.0088822504966724,0,0.198287949414259,0,0,0.106841142613058,0,0.394131615162837,0.295567675955237
"LINC00176",0.034645971743579,0.241435262339698,0,0,0,0.105511604235304,0,0,0.00476323040818997
"LINC00184",0,0,0,0,0,0,0,0,0
"LINC00189",0.188713700488028,0,0,0,0,0,1.28773904386732,0,0
"LINC00200",0,0,0,0,0.00824182823466937,0,0,0,0.0316263626239763
"LINC00202.1",0.0257787085335166,0,0.00773638701897447,0,0,0.0877058052844827,0.0128193629762461,0.107432479312045,0
"LINC00202.2",0.193114304225406,0,0.0466390075901495,0.00953713351208087,0.0122738296061435,0.00859462851074893,0.00506838073110647,0.130866530995149,0.0250561260366147
"LINC00210",0,0,0,0,0,0.0161297165888674,0,0,0
"LINC00221",0.409960579539752,0.828356086011551,0.174535805205305,0.187633828313671,0.178913290144333,0.256227791617749,0.379240552023805,0.30491337150404,0.476171062606706
"LINC00222",0,0,0,0,0,0,0,0,0.204123469591731
"LINC00229",0,0,0.067810462490769,0,0,0,0,0,0
"LINC00235",0,0,0,0.167566113009018,2.89977105329218,0,0.374585219913063,0,0
"LINC00238",0,0,0,0,0,0.31525321449343,0,0,0
"LINC00239",0,0,0.31806946397496,0,0,0.309087826255674,0.144567270947074,0.941667364414187,0.0280840569705392
"LINC00240",2.1013473363452,0,0,0,0,0,0,0.117066948896992,0
"LINC00242",0.416425014195056,0,0.576092366724227,0.605851567603607,4.95683696477541,3.53959417111021,1.59326646478201,0.00675732063525707,0.00745656103188013
"LINC00244",0,0,0.0458358772646277,0,0,0,0,0,0
"LINC00260",0,0,0.125837902217993,0,0,0,0,0.264688920756038,0.282822973726842
"LINC00261",0.289487120886663,0.126112590610384,0.0489436519437066,0.0229834851512656,0.0054303372519266,0.0505011435996343,0.0258982436885177,0.0291446416873355,0.159409588586127
"LINC00263",1.66122118300656,17.9282322562199,1.2395444809165,0.638169964071541,1.06492644721425,1.0500798776935,2.06034337880508,4.5776712361284,3.10165443475922
"LINC00264",0.0181417710975433,0,0.103437566052401,0,0,0,0.0285663859489141,0.173119100217476,0
"LINC00265",8.04912962658896,2.35801107753104,3.45998429848111,3.010134689317,3.68525204961552,7.60807246084324,3.08843688413427,2.78237963185565,2.25969025055934
"LINC00266.1",0.0815250543512007,3.59781952482422,1.38871449051017,0.291803585835962,0.358218812074297,2.19567783630586,0.492088594468533,1.46337893464988,0.596267668213962
"LINC00271",0,0.378569029637896,0.00908816344337863,0.304923545265218,0.306549662640362,0.0468511083314777,0.287353290904972,0.236840110433699,0.48937511225606
"LINC00273",14.8268176092258,169.821998340848,8.79142812602345,2.97796423267586,18.7348561878104,56.6332938906727,5.01677209630144,26.4776312771633,4.4669254317055
"LINC00277",0.077781227627234,0,0,0,0,0,0,0,0
"LINC00278",0,0,0,0,0,0,0,0,0
"LINC00282",0.180951635421303,0,0.902945947227275,0.457469546810243,0,0,0.116221434253865,0.114841695973218,0.0034523934419888
"LINC00293",0,0,0.0311636361372637,0,0,0.0284304203376476,0,0,0
"LINC00294",20.5906777256959,16.9692854801484,10.3220641099326,8.59095041876392,6.89999734456309,13.960850672063,11.5180151309703,12.8750450644634,19.2404159067793
"LINC00299",0.456825427897373,0,0,0.158710262343579,0.0902043310624836,0,0.863918378859497,0,0
"LINC00303",0.0129772378458648,0.0818149184263665,0,0,0,0,0,0,0
"LINC00304",0.0503640048996743,0,0.162315815030289,0,0,0,0,0,0
"LINC00309",0,0.206071635128965,0.117700056152703,0.264119278862348,0.1054569680023,0.0347769570010423,0.702459969300377,1.01819591794987,0.521432534364212
"LINC00310",0.11680010574788,0.0342744290253236,0.108489234676709,0.094978769109831,0.033304831084425,0.152593269828228,0.319596397481665,0.152651842769076,0.18560535543127
"LINC00311",3.26249233360246,2.14804051239102,1.69556217261922,1.22131888039774,0.77309602948602,1.64556610157131,1.62101733064499,2.06752785532874,2.40840969578656
"LINC00312",0,0,0.377861834469978,0.227929381983517,0,0.230095686870771,0.117877158229793,0,0
"LINC00313",0,0.106967000429636,0.704132505405633,0.0966962544109264,0.034646994685985,0.0220634465257046,0.892016672487698,0.28219691357602,0.29704161973852
"LINC00314",0.193767517993086,0,0.0755398783693937,0.0400040643009213,0,0,0.0680566313410321,0.0964775225740273,0.136892272900738
"LINC00319",0.0196344484663285,0,0.0559741259334197,0,0,0.0127662247219017,0,0.162381333241962,0
"LINC00320",0,0,0.63965400516367,0,0,0,0,0.0106882494943598,0
"LINC00323",0,0,0.228288904009109,0.160864353419753,0,0,0,0,0.17792635508909
"LINC00324",1.76782618820191,0,1.96063940133342,3.25405243316669,0.509651390491249,0.525305600084535,3.20412757133913,2.22838747824633,1.51072191362555
"LINC00326",0,0,0.0461379258792217,0,0,0,0,0,0
"LINC00327",5.23723382654278,4.32515886180484,3.20380782241402,2.26495851765572,1.88343737853033,3.94016411069178,3.66016214641807,3.30412307255276,5.10311932342351
"LINC00330",4.74525879344895,4.60877876701848,2.70146878181833,2.36911452085897,1.76451465616218,3.32465140281901,4.06022029369651,4.12296394893585,4.86367492386456
"LINC00331",0,0,0,0,0,0,0,0,0
"LINC00336",0,0.088183046865818,0.0207675702629254,0.0110689935868236,0.0460949574863047,0.0121259948157408,0.0154986907425161,0.0333061223062214,0.032460013400027
"LINC00338",17.862516215518,13.4004623196769,9.36857565133372,7.88920628769142,5.4550511842496,12.1839443266354,11.8674644785411,15.9848518488787,18.3062047678572
"LINC00339",9.95231163017714,0,2.86583243208845,2.20507075702899,0.595582864682725,8.64100709738827,5.76022726377229,3.08564186720959,10.7686970481873
"LINC00340",0,0,0.074128430409443,0.0924926939454,0,0.0202880924378766,0.0163776580109444,0,0
"LINC00341",1.71205899126747,0.197381387832449,1.52892824647504,1.09470812580518,3.28041636935762,1.17469745593139,2.622111806805,2.64863805928024,2.30971964450172
"LINC00346",3.31012852996055,2.46868803993881,1.74499191868805,1.55403916728124,0.967022783116121,2.34894052989234,2.22269953297742,2.48929882012466,3.76202034592573
"LINC00348",0.0207252511589023,0,0,0,0,0,0,0,0
"LINC00353",0.142471641055466,0,0,0,0,0,0,0,0
"LINC00359",0,0,0.114464799763028,0,0,0,0.189670683817483,0,0
"LINC00379",0.173258713391881,0,0,0,0.424563172977467,0,0,0,0
"LINC00381",0,0,0,0,0,0,0,0,0
"LINC00398",0,0,0,0,0,0,0,0,0
"LINC00410",1.86183198065261,0.398979490700632,0.761734755431287,0.350859091513019,0.286472820445926,0.903305746503641,0.748870424777071,0.409240429699751,0.975329927747493
"LINC00421",0,0,0.451705177559477,0,0,0,0,0,0
"LINC00423",0.0688192661440487,0,0,0,0,0,0,0,0
"LINC00426",0,0,0.0352494915150253,0,0.0126246758484489,0,1.03850988385231,0.298033328254307,0.260152286857825
"LINC00439",0,0,0,0,0,0.0438492066534883,0,0.0214517145921655,0
"LINC00441",0,0,0.492078745011682,0.246731205769184,0,0.100588468806165,0.189467866910514,0.764202990145986,0.448985515466657
"LINC00442",0.00918968105642627,0.46349031430316,0,0,0,0,0,0,0
"LINC00460",0,0,0,0,0,0,0,0,0
"LINC00461",0,0,0.0133806598225932,0,0,0,0,0,0
"LINC00462",0,0,0,0.0765759118589597,0,0,0,0,0
